Dataset 3,,,,,Dataset 2,,,,,Dataset 1,,,
1author,LiTFSIwt,temp C,exponent,,1author2,LiTFSIwt2,temp C2,exponent2,,1author3,LiTFSIwt3,temp C3,exponent3
S. Das,37.41391107,30,-4.2,,S. Das,37.41391107,30,-4.2,,S. Das,37.41391107,30,-4.2
S. Das,37.41391107,25.5,-4.4,,S. Das,37.41391107,25.5,-4.4,,S. Das,37.41391107,25.5,-4.4
S. Das,37.41391107,21.1,-4.7,,S. Das,37.41391107,21.1,-4.7,,S. Das,37.41391107,21.1,-4.7
S. Das,37.41391107,14.4,-5,,S. Das,37.41391107,14.4,-5,,S. Das,37.41391107,14.4,-5
S. Das,37.41391107,11.1,-5.2,,S. Das,37.41391107,11.1,-5.2,,S. Das,37.41391107,11.1,-5.2
S. Das,37.41391107,4.78,-5.5,,S. Das,37.41391107,4.78,-5.5,,S. Das,37.41391107,4.78,-5.5
S. Das,37.41391107,0.224,-5.8,,S. Das,37.41391107,0.224,-5.8,,S. Das,37.41391107,0.224,-5.8
S. Das,37.41391107,-5.12,-6,,S. Das,37.41391107,-5.12,-6,,S. Das,37.41391107,-5.12,-6
S. Das,37.41391107,-9.84,-6.3,,S. Das,37.41391107,-9.84,-6.3,,S. Das,37.41391107,-9.84,-6.3
S. Das,37.41391107,-15.3,-6.6,,S. Das,37.41391107,-15.3,-6.6,,S. Das,37.41391107,-15.3,-6.6
S. Das,37.41391107,-19.8,-7.1,,S. Das,37.41391107,-19.8,-7.1,,S. Das,37.41391107,-19.8,-7.1
S. Das,37.41391107,-24.9,-7.5,,S. Das,37.41391107,-24.9,-7.5,,S. Das,37.41391107,-24.9,-7.5
S. Das,37.41391107,-29.1,-7.8,,S. Das,37.41391107,-29.1,-7.8,,S. Das,37.41391107,-29.1,-7.8
S. Das,37.41391107,-34.9,-8.3,,S. Das,37.41391107,-34.9,-8.3,,S. Das,37.41391107,-34.9,-8.3
Heng Zhang,26.39992997,100,-2.7,,Heng Zhang,26.39992997,100,-2.7,,Heng Zhang,26.39992997,100,-2.7
Heng Zhang,26.39992997,90,-2.9,,Heng Zhang,26.39992997,90,-2.9,,Heng Zhang,26.39992997,90,-2.9
